iso;stock;region;family_wals;genus_wals;l2
mak;Austronesian;Oceania;An ;Sulawesi;400000
zlm;Austronesian;Southeast Asia;An;Malayic;3000000
msa;Austronesian;Southeast Asia;An ;Malayic;270000000
xmm;Austronesian;Southeast Asia;An;Malayic;1500000
max;Austronesian;Southeast Asia;An;Malayic;300000
mal;Dravidian ;Indic;Dra;Southern Dravidian;10000000
mdy;Omotic;Greater Abyssinia  ;AA;North Omotic;6730
mri;Austronesian;Oceania;An;Oceanic;121980
mar;Indo-European;Indic;IE;Indic;3000000
mfr;Western Daly;N Australia;Aus;Western Daly;50
zmg;Western Daly;N Australia;Aus;;50
rwr;Indo-European;Indic;IE;;933
msb;Austronesian;Oceania;An;Philippine;250000
mym;Surmic;Greater Abyssinia  ;NS;;6300
mfx;Omotic;Greater Abyssinia  ;AA;North Omotic;4657
mez;Algic;E North America;Alg;Algonquian;26
muk;Sino-Tibetan;Indic;ST;Central;50
muz;Surmic;Greater Abyssinia  ;NS;;34
wmw;Benue-Congo;S Africa;NC;Bantoid;20000
njm;Sino-Tibetan;Southeast Asia;ST;Kuki-Chin-Naga;30000
noz;Omotic;Greater Abyssinia  ;AA;North Omotic;1876
nbl;Benue-Congo;S Africa;NC ;;1400000
yrk;Uralic;Inner Asia;Ura;Samyedic;8260
aii;Semitic ;Greater Mesopotamia;AA;Semitic;3280335
nep;Indo-European;Indic;IE;;15000000
pcm;Creole;Nigeria;Cre;English based;51250000
ncg;Tsimshianic;Alaska-Oregon;Penutian;;1500
nus;Nilotic;African Savannah  ;NS;Nilotic;1122
nuy;Gunwingguan;N Australia;Aus;Nunggubuyu;400
nup;Benue-Congo;African Savannah  ;NC;Nupoid;200000
nnj;Nilotic;Greater Abyssinia  ;NS;Nilotic;123
nya;Benue-Congo;S Africa;NC ;;400000
ort;Indo-European;Indic;IE;;200000
ori;Indo-European;Indic;IE;;2000000
gax,hae,gaz;Cushitic;S Africa;AA;Eastern Cushitic;2000000
oyd;Omotic;Greater Abyssinia  ;AA;North Omotic;4040
pap;Papiamentu  ;NE South America;Cre;Iberian based;20000
lae;Sino-Tibetan;Indic;ST;;5000
pes, aiq,bhh,drw,deh,ipr,prs,haz,phv,tkg;Indo-European;Greater Mesopotamia;IE;Iranian;62000000
pex;Austronesian;N Coast New Guinea;An;;8000
pjt;Pama-Nyungan;S Australia;Aus;;500
pol;Indo-European;Europe;IE;Slavic;1145760
por;Indo-European;Europe;IE;Romance;17500000
ahg;Cushitic;Greater Abyssinia  ;AA;Central Cushitic;3181
jnl;Sino-Tibetan;Indic;ST;Janggali;192
rmn;Indo-European;Europe;IE ;Indic;200000
ron;Indo-European;Europe;IE;Romance;4000000
rug;Austronesian;Oceania;An;Oceanic;16000
rus;Indo-European;Inner Asia;IE;Slavic;110000000
ssy;Cushitic;Greater Abyssinia  ;AA;Eastern Cushitic;3378
sag;Adamawa-Ubangi;African Savannah  ;NC;Ubangi;1600000
san;Indo-European;Indic;IE ;Indic;194433
skr;Indo-European;Greater Mesopotamia;IE;Indic;13000000
srp;Indo-European;Europe;IE;Slavic;11000000
moy;Omotic;Greater Abyssinia  ;AA;South Omotic;3476
she;Omotic;Greater Abyssinia  ;AA;North Omotic;4920
sna;Benue-Congo;S Africa;NC ;;1800000
sid;Cushitic;Greater Abyssinia  ;AA;Eastern Cushitic;100670
snd;Indo-European;Indic;IE;;13000000
sin;Indo-European;Indic;IE;Indic;2300000
som;Cushitic;Greater Abyssinia  ;AA;Eastern Cushitic;500000
spa;Indo-European;Europe;IE;Romance;105000000
srn;Sranan;NE South America;Cre ;English based;300000
swc;Benue-Congo;S Africa;NC ;Bantoid;9100000
swh;Benue-Congo;S Africa;NC ;Bantoid;55000000
syl;Indo-European;Indic;IE;;1500000
tgl;Austronesian ;Oceania;An ;Meso-Philippine;51000000
taj,tge,tmk,tsf,tdg;Sino-Tibetan;Indic;ST;;23645
tam;Dravidian ;Indic;Dra;Southern Dravidian;8500000
tel;Dravidian ;Indic;Dra ;South Central Dravidian;5000000
tem;Atlantic;African Savannah  ;NC;Southern Atlantic;220000
tft;West Papuan;Oceania;WP;North Halmaheran;20000
tha;Tai-Kadai;Southeast Asia;TK ;Kam-Tai;34500000
ths;Sino-Tibetan;Indic;ST;;1056
tvo;West Papuan;Oceania;WP;North Halmaheran;20000
tir;Semitic ;Greater Abyssinia  ;AA;Semitic;146934
tiw;Tiwi;N Australia;Aus;;1830
tpi;Tok Pisin ;S New Guinea;Cre;English based;4000000
tsb;Cushitic;Greater Abyssinia  ;AA;Eastern Cushitic;1200
tsn;Benue-Congo;S Africa;NC ;;175000
tur;Turkic;Greater Mesopotamia;Alt;Turkic;10593467
urd;Indo-European;Indic;IE;Indic;43413200
vie;Austroasiatic ;Southeast Asia;AuA ;Viet-Muong;16000000
cym;Indo-European;Europe;IE;Celtic;271000
wim;Pama-Nyungan;N Australia;Aus;Pama-Nyungan;600
wal;Omotic;Greater Abyssinia  ;AA;North Omotic;89801
wol;Atlantic;African Savannah  ;NC;Northern Atlantic;7973772
unp;Wororan;N Australia;Aus;;150
xan;Cushitic;Greater Abyssinia  ;AA;Central Cushitic;11026
yor;Niger-Congo;African Savannah  ;NC;Defoid;2000000
zul;Benue-Congo ;S Africa;NC;Bantoid;15850000
